Galaxy	Finite difference	Spline: 1st derivative	w/ bulge	w/o bulge	Spline: 2nd derivative	w/ bulge	w/o bulge
CamB	0.5714285714285715	0.3183168704431687	-inf	0.3183168704431687	-0.18525680536056804	-inf	-0.18525680536056804
DDO064	0.7417582417582418	0.7345593636495936	-inf	0.7345593636495936	0.2197960115539601	-inf	0.2197960115539601
DDO154	0.9545454545454546	0.9547027385110274	-inf	0.9547027385110274	-0.016643684338436843	-inf	-0.016643684338436843
DDO161	0.7566184649610679	0.6775431494114315	-inf	0.6775431494114315	-0.31223951007839507	-inf	-0.31223951007839507
DDO168	0.8333333333333333	0.6979198160231981	-inf	0.6979198160231981	-0.1115169098631691	-inf	-0.1115169098631691
DDO170	0.8571428571428573	0.8184608320806082	-inf	0.8184608320806082	0.3497792780937928	-inf	0.3497792780937928
ESO079-G014	0.6527472527472528	0.6559799522957995	-inf	0.6559799522957995	-0.08975907488159075	-inf	-0.08975907488159075
ESO116-G012	0.8461538461538461	0.6905593832815938	-inf	0.6905593832815938	0.2695488462074885	-inf	0.2695488462074885
ESO444-G084	0.942857142857143	0.9294311900703119	-inf	0.9294311900703119	0.3427820920038209	-inf	0.3427820920038209
ESO563-G021	0.774297838660613	0.641464601982646	-inf	0.641464601982646	-0.09700059478600594	-inf	-0.09700059478600594
F561-1	0.7	0.333004299882043	-inf	0.333004299882043	0.43875772409557723	-inf	0.43875772409557723
F563-1	0.15294117647058825	-0.17401262078412622	-inf	-0.17401262078412622	-0.657474507238745	-inf	-0.657474507238745
F563-V1	0.8999999999999998	0.9412057317040573	-inf	0.9412057317040573	0.9608587571245877	-inf	0.9608587571245877
F563-V2	0.8833333333333333	0.8295875812118759	-inf	0.8295875812118759	0.19760359376003597	-inf	0.19760359376003597
F565-V2	0.7714285714285715	0.5296744216967443	-inf	0.5296744216967443	-0.43959210443192104	-inf	-0.43959210443192104
F567-2	0.39999999999999997	0.3133469163974692	-inf	0.3133469163974692	0.6511473624914736	-inf	0.6511473624914736
F568-1	0.3181818181818182	0.3442047809980478	-inf	0.3442047809980478	-0.08518831834788318	-inf	-0.08518831834788318
F568-3	0.7352941176470589	0.4593852924218529	-inf	0.4593852924218529	0.21587453337474533	-inf	0.21587453337474533
F568-V1	0.48844914045541904	0.6585625670736256	-inf	0.6585625670736256	0.3979510131075102	-inf	0.3979510131075102
F571-8	0.2027972027972028	-0.06391898575518987	-inf	-0.06391898575518987	0.25296717484567177	-inf	0.25296717484567177
F571-V1	0.8285714285714287	0.8108809696408096	-inf	0.8108809696408096	0.5412573810365738	-inf	0.5412573810365738
F574-1	0.33516483516483514	0.3439509097275091	-inf	0.3439509097275091	0.19310883397108833	-inf	0.19310883397108833
F574-2	-0.19999999999999998	0.1289757188577572	-inf	0.1289757188577572	-0.978322791195228	-inf	-0.978322791195228
F579-V1	0.8995881962849928	0.8749235096892352	-inf	0.8749235096892352	0.5033034427850344	-inf	0.5033034427850344
F583-1	0.02608695652173913	0.32322804038828046	-inf	0.32322804038828046	0.13452307489323076	-inf	0.13452307489323076
F583-4	0.39090909090909093	0.11943917891439179	-inf	0.11943917891439179	-0.30759970214799703	-inf	-0.30759970214799703
IC2574	0.19403359305649098	0.038201197978011976	-inf	0.038201197978011976	-0.25688784595287845	-inf	-0.25688784595287845
IC4202	0.4596774193548387	0.39860623859006233	0.39860623859006233	-inf	-0.01537383615373836	-0.01537383615373836	-inf
KK98-251	0.39780219780219783	0.6474268518182685	-inf	0.6474268518182685	0.2398943511949435	-inf	0.2398943511949435
NGC0024	0.7772304324028462	0.39857840353378404	-inf	0.39857840353378404	-0.4048329787483298	-inf	-0.4048329787483298
NGC0055	0.8796992481203006	0.8603786666397867	-inf	0.8603786666397867	0.01738288484982885	-inf	0.01738288484982885
NGC0100	0.8300751879699247	0.7949891626258915	-inf	0.7949891626258915	0.567055895958559	-inf	0.567055895958559
NGC0247	0.7445171770802134	0.7337692225856921	-inf	0.7337692225856921	0.06809646432896466	-inf	0.06809646432896466
NGC0289	0.302243935745464	0.29324640280046405	-inf	0.29324640280046405	0.02943867451838674	-inf	0.02943867451838674
NGC0300	0.6156521739130434	0.5806891662708916	-inf	0.5806891662708916	0.18528985397289852	-inf	0.18528985397289852
NGC0801	0.8161133356141735	-0.23397362361573623	-inf	-0.23397362361573623	-0.4251063769470638	-inf	-0.4251063769470638
NGC0891	-0.454546826565547	-0.28020486789004867	-0.28020486789004867	-inf	-0.017717582397175826	-0.017717582397175826	-inf
NGC1003	0.33174500086799374	0.28929246088892463	-inf	0.28929246088892463	0.38799854952398555	-inf	0.38799854952398555
NGC1090	0.49241842978821543	0.4593051428730514	-inf	0.4593051428730514	0.054784165627841656	-inf	0.054784165627841656
NGC1705	0.4230769230769231	0.544528499973285	-inf	0.544528499973285	-0.011721457797214578	-inf	-0.011721457797214578
NGC2366	0.8192307692307693	0.7506430409584304	-inf	0.7506430409584304	-0.15765643904856436	-inf	-0.15765643904856436
NGC2403	0.5732981387339762	0.3266491278864913	-inf	0.3266491278864913	0.3642144705421447	-inf	0.3642144705421447
NGC2683	0.5151515151515151	0.3795628948956289	0.3795628948956289	-inf	0.6390001370940014	0.6390001370940014	-inf
NGC2841	0.02051491467939384	0.2594252670262527	0.2594252670262527	-inf	-0.03268194918281949	-0.03268194918281949	-inf
NGC2903	0.6648825038288659	0.4011611232396112	-inf	0.4011611232396112	-0.1711701190397012	-inf	-0.1711701190397012
NGC2915	-0.3354679802955664	-0.3470249096902491	-inf	-0.3470249096902491	-0.02327942758079428	-inf	-0.02327942758079428
NGC2955	0.13936249498838663	-0.00018481100584811006	-0.00018481100584811006	-inf	-0.0010245630582456306	-0.0010245630582456306	-inf
NGC2976	0.3200547148845581	0.48697163343371636	-inf	0.48697163343371636	0.18120774722407748	-inf	0.18120774722407748
NGC2998	0.8251748251748254	-0.2884270597962706	-inf	-0.2884270597962706	-0.494903692241037	-inf	-0.494903692241037
NGC3109	0.7304347826086957	0.7079756744157567	-inf	0.7079756744157567	0.2388607115886071	-inf	0.2388607115886071
NGC3198	0.6631276223164765	0.4690730378747304	-inf	0.4690730378747304	0.20886628606866287	-inf	0.20886628606866287
NGC3521	0.5571635404694916	0.2323520714475207	-inf	0.2323520714475207	0.16680365618403656	-inf	0.16680365618403656
NGC3726	0.46363636363636374	0.35225848572658486	-inf	0.35225848572658486	0.4434170075221701	-inf	0.4434170075221701
NGC3741	0.5052631578947367	0.5080665651646658	-inf	0.5080665651646658	0.14021367423413675	-inf	0.14021367423413675
NGC3769	-0.13636363636363638	-0.011085577862855779	-inf	-0.011085577862855779	0.4360815424248154	-inf	0.4360815424248154
NGC3877	0.6164632921377448	0.5846253529582536	-inf	0.5846253529582536	-0.578863798564638	-inf	-0.578863798564638
NGC3893	0.39999999999999997	0.3561159311971593	-inf	0.3561159311971593	0.7879750858517509	-inf	0.7879750858517509
NGC3917	0.8785874343251009	0.883115107487151	-inf	0.883115107487151	0.39953948122739485	-inf	0.39953948122739485
NGC3949	0.48571428571428577	0.5227820516238205	-inf	0.5227820516238205	-0.3438555607385556	-inf	-0.3438555607385556
NGC3953	0.8571428571428573	0.8123320281713202	-inf	0.8123320281713202	0.4374997257549973	-inf	0.4374997257549973
NGC3972	0.8166666666666667	0.6914763404787634	-inf	0.6914763404787634	-0.261952302591523	-inf	-0.261952302591523
NGC3992	0.8095238095238096	0.7448384815763848	-inf	0.7448384815763848	0.20986033893460337	-inf	0.20986033893460337
NGC4010	0.8090909090909091	0.7337473676334736	-inf	0.7337473676334736	0.2038385187943852	-inf	0.2038385187943852
NGC4013	0.24943289615660522	0.2007282603152826	0.2007282603152826	-inf	-0.1102203591342036	-0.1102203591342036	-inf
NGC4051	0.7714285714285715	0.7363376199913761	-inf	0.7363376199913761	0.8068170607361705	-inf	0.8068170607361705
NGC4068	0.7999999999999999	0.6969409758094097	-inf	0.6969409758094097	-0.9967512189435123	-inf	-0.9967512189435123
NGC4085	0.942857142857143	0.7542892128788922	-inf	0.7542892128788922	-0.5917019894890199	-inf	-0.5917019894890199
NGC4088	0.5818181818181819	0.5698337466463375	-inf	0.5698337466463375	0.004621739794217398	-inf	0.004621739794217398
NGC4100	0.574678817223674	0.5481550896215509	-inf	0.5481550896215509	0.0017523086335230862	-inf	0.0017523086335230862
